Depth,Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
700,1,3000,5,0,70,10.5
700,1,3000,5,0,100,9.8
700,1,3000,5,30,0,16.2
700,1,3000,5,30,5,13.4
700,1,3000,5,30,10,12.3
700,1,3000,5,30,40,10.5
700,1,3000,5,30,70,9.7
700,1,3000,5,30,100,9.1
700,1,3000,5,60,0,12.1
700,1,3000,5,60,5,9.6
700,1,3000,5,60,10,9.0
700,1,3000,5,60,40,0.0
700,1,3000,5,60,70,0.0
700,1,3000,5,60,100,0.0
700,1,3000,10,0,0,17.7
700,1,3000,10,0,5,15.5
700,1,3000,10,0,10,14.1
700,1,3000,10,0,40,11.8
700,1,3000,10,0,70,10.7
700,1,3000,10,0,100,10.0
700,1,3000,10,30,0,16.6
700,1,3000,10,30,5,13.9
700,1,3000,10,30,10,12.7
700,1,3000,10,30,40,10.8
700,1,3000,10,30,70,9.9
700,1,3000,10,30,100,9.2
700,1,3000,10,60,0,12.4
700,1,3000,10,60,5,9.8
700,1,3000,10,60,10,9.2
700,1,3000,10,60,40,8.1
700,1,3000,10,60,70,0.0
700,1,3000,10,60,100,0.0
700,1,3000,20,0,0,18.0
700,1,3000,20,0,5,15.8
700,1,3000,20,0,10,14.3
700,1,3000,20,0,40,12.0
700,1,3000,20,0,70,10.9
700,1,3000,20,0,100,10.1
700,1,3000,20,30,0,16.8
700,1,3000,20,30,5,14.2
700,1,3000,20,30,10,12.9
700,1,3000,20,30,40,11.0
700,1,3000,20,30,70,10.0
700,1,3000,20,30,100,9.3
700,1,3000,20,60,0,12.6
700,1,3000,20,60,5,9.9
700,1,3000,20,60,10,9.2
700,1,3000,20,60,40,8.1
700,1,3000,20,60,70,0.0
700,1,3000,20,60,100,0.0
700,1,3000,50,0,0,18.1
700,1,3000,50,0,5,16.0
700,1,3000,50,0,10,14.5
700,1,3000,50,0,40,12.1
700,1,3000,50,0,70,10.9
700,1,3000,50,0,100,10.1
700,1,3000,50,30,0,16.9
700,1,3000,50,30,5,14.4
700,1,3000,50,30,10,13.1
700,1,3000,50,30,40,11.0
700,1,3000,50,30,70,10.1
700,1,3000,50,30,100,9.4
700,1,3000,50,60,0,12.6
700,1,3000,50,60,5,10.0
700,1,3000,50,60,10,9.3
700,1,3000,50,60,40,8.2
700,1,3000,50,60,70,0.0
700,1,3000,50,60,100,0.0
700,0.9,10,1,0,0,0.0
700,0.9,10,1,0,5,0.0
700,0.9,10,1,0,10,0.0
700,0.9,10,1,0,40,0.0
700,0.9,10,1,0,70,0.0
700,0.9,10,1,0,100,0.0
700,0.9,10,1,30,0,0.0
700,0.9,10,1,30,5,0.0
700,0.9,10,1,30,10,0.0
700,0.9,10,1,30,40,0.0
700,0.9,10,1,30,70,0.0
700,0.9,10,1,30,100,0.0
700,0.9,10,1,60,0,0.0
700,0.9,10,1,60,5,0.0
700,0.9,10,1,60,10,0.0
700,0.9,10,1,60,40,0.0
700,0.9,10,1,60,70,0.0
700,0.9,10,1,60,100,0.0
700,0.9,10,5,0,0,0.3
700,0.9,10,5,0,5,0.0
700,0.9,10,5,0,10,0.0
700,0.9,10,5,0,40,0.0
700,0.9,10,5,0,70,0.0
700,0.9,10,5,0,100,0.0
700,0.9,10,5,30,0,0.3
700,0.9,10,5,30,5,0.0
700,0.9,10,5,30,10,0.0
700,0.9,10,5,30,40,0.0
700,0.9,10,5,30,70,0.0
700,0.9,10,5,30,100,0.0
700,0.9,10,5,60,0,0.3
700,0.9,10,5,60,5,0.0
700,0.9,10,5,60,10,0.0
700,0.9,10,5,60,40,0.0
700,0.9,10,5,60,70,0.0
700,0.9,10,5,60,100,0.0
700,0.9,10,10,0,0,0.6
700,0.9,10,10,0,5,0.0
700,0.9,10,10,0,10,0.0
700,0.9,10,10,0,40,0.0
700,0.9,10,10,0,70,0.0
700,0.9,10,10,0,100,0.0
700,0.9,10,10,30,0,0.6
700,0.9,10,10,30,5,0.0
700,0.9,10,10,30,10,0.0
700,0.9,10,10,30,40,0.0
700,0.9,10,10,30,70,0.0
700,0.9,10,10,30,100,0.0
700,0.9,10,10,60,0,0.6
700,0.9,10,10,60,5,0.0
700,0.9,10,10,60,10,0.0
700,0.9,10,10,60,40,0.0
700,0.9,10,10,60,70,0.0
700,0.9,10,10,60,100,0.0
700,0.9,10,20,0,0,1.3
700,0.9,10,20,0,5,0.0
700,0.9,10,20,0,10,0.0
700,0.9,10,20,0,40,0.0
700,0.9,10,20,0,70,0.0
700,0.9,10,20,0,100,0.0
700,0.9,10,20,30,0,1.3
700,0.9,10,20,30,5,0.0
700,0.9,10,20,30,10,0.0
700,0.9,10,20,30,40,0.0
700,0.9,10,20,30,70,0.0
700,0.9,10,20,30,100,0.0
700,0.9,10,20,60,0,1.3
700,0.9,10,20,60,5,0.0
700,0.9,10,20,60,10,0.0
700,0.9,10,20,60,40,0.0
700,0.9,10,20,60,70,0.0
700,0.9,10,20,60,100,0.0
700,0.9,10,50,0,0,3.1
700,0.9,10,50,0,5,0.0
700,0.9,10,50,0,10,0.0
700,0.9,10,50,0,40,0.0
700,0.9,10,50,0,70,0.0
700,0.9,10,50,0,100,0.0
700,0.9,10,50,30,0,3.0
700,0.9,10,50,30,5,0.0
700,0.9,10,50,30,10,0.0
700,0.9,10,50,30,40,0.0
700,0.9,10,50,30,70,0.0
700,0.9,10,50,30,100,0.0
700,0.9,10,50,60,0,2.9
700,0.9,10,50,60,5,0.0
700,0.9,10,50,60,10,0.0
700,0.9,10,50,60,40,0.0
700,0.9,10,50,60,70,0.0
700,0.9,10,50,60,100,0.0
700,0.9,50,1,0,0,0.0
700,0.9,50,1,0,5,0.0
700,0.9,50,1,0,10,0.0
700,0.9,50,1,0,40,0.0
700,0.9,50,1,0,70,0.0
700,0.9,50,1,0,100,0.0
700,0.9,50,1,30,0,0.0
700,0.9,50,1,30,5,0.0
700,0.9,50,1,30,10,0.0
700,0.9,50,1,30,40,0.0
700,0.9,50,1,30,70,0.0
700,0.9,50,1,30,100,0.0
700,0.9,50,1,60,0,0.0
700,0.9,50,1,60,5,0.0
700,0.9,50,1,60,10,0.0
700,0.9,50,1,60,40,0.0
700,0.9,50,1,60,70,0.0
700,0.9,50,1,60,100,0.0
700,0.9,50,5,0,0,1.6
700,0.9,50,5,0,5,0.0
700,0.9,50,5,0,10,0.0
700,0.9,50,5,0,40,0.0
700,0.9,50,5,0,70,0.0
700,0.9,50,5,0,100,0.0
700,0.9,50,5,30,0,1.6
700,0.9,50,5,30,5,0.0
700,0.9,50,5,30,10,0.0
700,0.9,50,5,30,40,0.0
700,0.9,50,5,30,70,0.0
700,0.9,50,5,30,100,0.0
700,0.9,50,5,60,0,1.5
700,0.9,50,5,60,5,0.0
700,0.9,50,5,60,10,0.0
700,0.9,50,5,60,40,0.0
700,0.9,50,5,60,70,0.0
700,0.9,50,5,60,100,0.0
700,0.9,50,10,0,0,3.0
700,0.9,50,10,0,5,0.0
700,0.9,50,10,0,10,0.0
700,0.9,50,10,0,40,0.0
700,0.9,50,10,0,70,0.0
700,0.9,50,10,0,100,0.0
700,0.9,50,10,30,0,3.0
700,0.9,50,10,30,5,0.0
700,0.9,50,10,30,10,0.0
700,0.9,50,10,30,40,0.0
700,0.9,50,10,30,70,0.0
700,0.9,50,10,30,100,0.0
700,0.9,50,10,60,0,2.9
700,0.9,50,10,60,5,0.0
700,0.9,50,10,60,10,0.0
700,0.9,50,10,60,40,0.0
700,0.9,50,10,60,70,0.0
700,0.9,50,10,60,100,0.0
700,0.9,50,20,0,0,5.4
700,0.9,50,20,0,5,0.0
700,0.9,50,20,0,10,0.0
700,0.9,50,20,0,40,0.0
700,0.9,50,20,0,70,0.0
700,0.9,50,20,0,100,0.0
700,0.9,50,20,30,0,5.3
700,0.9,50,20,30,5,0.0
700,0.9,50,20,30,10,0.0
700,0.9,50,20,30,40,0.0
700,0.9,50,20,30,70,0.0
700,0.9,50,20,30,100,0.0
700,0.9,50,20,60,0,4.8
700,0.9,50,20,60,5,0.0
700,0.9,50,20,60,10,0.0
700,0.9,50,20,60,40,0.0
700,0.9,50,20,60,70,0.0
700,0.9,50,20,60,100,0.0
700,0.9,50,50,0,0,9.0
700,0.9,50,50,0,5,0.0
700,0.9,50,50,0,10,0.0
700,0.9,50,50,0,40,0.0
700,0.9,50,50,0,70,0.0
700,0.9,50,50,0,100,0.0
700,0.9,50,50,30,0,8.6
700,0.9,50,50,30,5,0.0
700,0.9,50,50,30,10,0.0
700,0.9,50,50,30,40,0.0
700,0.9,50,50,30,70,0.0
700,0.9,50,50,30,100,0.0
700,0.9,50,50,60,0,7.1
700,0.9,50,50,60,5,0.0
700,0.9,50,50,60,10,0.0
700,0.9,50,50,60,40,0.0
700,0.9,50,50,60,70,0.0
700,0.9,50,50,60,100,0.0
700,0.9,100,1,0,0,0.6
700,0.9,100,1,0,5,0.0
700,0.9,100,1,0,10,0.0
700,0.9,100,1,0,40,0.0
700,0.9,100,1,0,70,0.0
700,0.9,100,1,0,100,0.0
700,0.9,100,1,30,0,0.6
700,0.9,100,1,30,5,0.0
700,0.9,100,1,30,10,0.0
700,0.9,100,1,30,40,0.0
700,0.9,100,1,30,70,0.0
700,0.9,100,1,30,100,0.0
700,0.9,100,1,60,0,0.6
700,0.9,100,1,60,5,0.0
700,0.9,100,1,60,10,0.0
700,0.9,100,1,60,40,0.0
700,0.9,100,1,60,70,0.0
700,0.9,100,1,60,100,0.0
700,0.9,100,5,0,0,3.0
700,0.9,100,5,0,5,0.0
700,0.9,100,5,0,10,0.0
700,0.9,100,5,0,40,0.0
700,0.9,100,5,0,70,0.0
700,0.9,100,5,0,100,0.0
700,0.9,100,5,30,0,2.9
700,0.9,100,5,30,5,0.0
700,0.9,100,5,30,10,0.0
700,0.9,100,5,30,40,0.0
700,0.9,100,5,30,70,0.0
700,0.9,100,5,30,100,0.0
700,0.9,100,5,60,0,2.8
700,0.9,100,5,60,5,0.0
700,0.9,100,5,60,10,0.0
700,0.9,100,5,60,40,0.0
700,0.9,100,5,60,70,0.0
700,0.9,100,5,60,100,0.0
700,0.9,100,10,0,0,5.3
700,0.9,100,10,0,5,0.0
700,0.9,100,10,0,10,0.0
700,0.9,100,10,0,40,0.0
700,0.9,100,10,0,70,0.0
700,0.9,100,10,0,100,0.0
700,0.9,100,10,30,0,5.2
700,0.9,100,10,30,5,0.0
700,0.9,100,10,30,10,0.0
700,0.9,100,10,30,40,0.0
700,0.9,100,10,30,70,0.0
700,0.9,100,10,30,100,0.0
700,0.9,100,10,60,0,4.7
700,0.9,100,10,60,5,0.0
700,0.9,100,10,60,10,0.0
700,0.9,100,10,60,40,0.0
700,0.9,100,10,60,70,0.0
700,0.9,100,10,60,100,0.0
700,0.9,100,20,0,0,8.1
700,0.9,100,20,0,5,0.0
700,0.9,100,20,0,10,0.0
700,0.9,100,20,0,40,0.0
700,0.9,100,20,0,70,0.0
700,0.9,100,20,0,100,0.0
700,0.9,100,20,30,0,7.8
700,0.9,100,20,30,5,0.0
700,0.9,100,20,30,10,0.0
700,0.9,100,20,30,40,0.0
700,0.9,100,20,30,70,0.0
700,0.9,100,20,30,100,0.0
700,0.9,100,20,60,0,6.6
700,0.9,100,20,60,5,0.0
700,0.9,100,20,60,10,0.0
700,0.9,100,20,60,40,0.0
700,0.9,100,20,60,70,0.0
700,0.9,100,20,60,100,0.0
700,0.9,100,50,0,0,11.0
700,0.9,100,50,0,5,6.3
700,0.9,100,50,0,10,5.6
700,0.9,100,50,0,40,0.0
700,0.9,100,50,0,70,0.0
700,0.9,100,50,0,100,0.0
700,0.9,100,50,30,0,10.4
700,0.9,100,50,30,5,5.6
700,0.9,100,50,30,10,5.1
700,0.9,100,50,30,40,0.0
700,0.9,100,50,30,70,0.0
700,0.9,100,50,30,100,0.0
700,0.9,100,50,60,0,8.1
700,0.9,100,50,60,5,0.0
700,0.9,100,50,60,10,0.0
700,0.9,100,50,60,40,0.0
700,0.9,100,50,60,70,0.0
700,0.9,100,50,60,100,0.0
700,0.9,500,1,0,0,2.7
700,0.9,500,1,0,5,0.0
700,0.9,500,1,0,10,0.0
700,0.9,500,1,0,40,0.0
