Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
1,500,50,0,5,32.1
1,500,50,0,10,30.3
1,500,50,0,40,26.4
1,500,50,0,70,24.3
1,500,50,0,100,22.6
1,500,50,30,0,32.7
1,500,50,30,5,29.8
1,500,50,30,10,28.1
1,500,50,30,40,24.6
1,500,50,30,70,22.6
1,500,50,30,100,21.0
1,500,50,60,0,25.1
1,500,50,60,5,22.4
1,500,50,60,10,21.1
1,500,50,60,40,18.5
1,500,50,60,70,17.0
1,500,50,60,100,15.8
1,1000,1,0,0,22.5
1,1000,1,0,5,21.3
1,1000,1,0,10,20.6
1,1000,1,0,40,19.1
1,1000,1,0,70,18.2
1,1000,1,0,100,17.3
1,1000,1,30,0,21.8
1,1000,1,30,5,20.5
1,1000,1,30,10,19.8
1,1000,1,30,40,18.3
1,1000,1,30,70,17.3
1,1000,1,30,100,16.5
1,1000,1,60,0,18.7
1,1000,1,60,5,17.2
1,1000,1,60,10,16.5
1,1000,1,60,40,15.0
1,1000,1,60,70,14.0
1,1000,1,60,100,13.3
1,1000,5,0,0,33.2
1,1000,5,0,5,30.6
1,1000,5,0,10,28.9
1,1000,5,0,40,25.5
1,1000,5,0,70,23.5
1,1000,5,0,100,21.9
1,1000,5,30,0,31.2
1,1000,5,30,5,28.5
1,1000,5,30,10,27.0
1,1000,5,30,40,23.8
1,1000,5,30,70,21.9
1,1000,5,30,100,20.4
1,1000,5,60,0,24.3
1,1000,5,60,5,21.7
1,1000,5,60,10,20.5
1,1000,5,60,40,18.0
1,1000,5,60,70,16.6
1,1000,5,60,100,15.4
1,1000,10,0,0,34.4
1,1000,10,0,5,31.5
1,1000,10,0,10,29.8
1,1000,10,0,40,26.1
1,1000,10,0,70,24.1
1,1000,10,0,100,22.3
1,1000,10,30,0,32.1
1,1000,10,30,5,29.3
1,1000,10,30,10,27.7
1,1000,10,30,40,24.3
1,1000,10,30,70,22.4
1,1000,10,30,100,20.7
1,1000,10,60,0,24.8
1,1000,10,60,5,22.2
1,1000,10,60,10,20.9
1,1000,10,60,40,18.3
1,1000,10,60,70,16.8
1,1000,10,60,100,15.7
1,1000,20,0,0,34.9
1,1000,20,0,5,32.0
1,1000,20,0,10,30.2
1,1000,20,0,40,26.4
1,1000,20,0,70,24.3
1,1000,20,0,100,22.5
1,1000,20,30,0,32.6
1,1000,20,30,5,29.7
1,1000,20,30,10,28.0
1,1000,20,30,40,24.6
1,1000,20,30,70,22.6
1,1000,20,30,100,20.9
1,1000,20,60,0,25.1
1,1000,20,60,5,22.4
1,1000,20,60,10,21.1
1,1000,20,60,40,18.4
1,1000,20,60,70,16.9
1,1000,20,60,100,15.8
1,1000,50,0,0,35.1
1,1000,50,0,5,32.2
1,1000,50,0,10,30.4
1,1000,50,0,40,26.5
1,1000,50,0,70,24.4
1,1000,50,0,100,22.7
1,1000,50,30,0,32.8
1,1000,50,30,5,29.9
1,1000,50,30,10,28.2
1,1000,50,30,40,24.7
1,1000,50,30,70,22.7
1,1000,50,30,100,21.0
1,1000,50,60,0,25.2
1,1000,50,60,5,22.5
1,1000,50,60,10,21.2
1,1000,50,60,40,18.5
1,1000,50,60,70,17.0
1,1000,50,60,100,15.8
1,3000,1,0,0,30.1
1,3000,1,0,5,27.9
1,3000,1,0,10,26.6
1,3000,1,0,40,23.8
1,3000,1,0,70,22.2
1,3000,1,0,100,20.8
1,3000,1,30,0,28.5
1,3000,1,30,5,26.3
1,3000,1,30,10,25.1
1,3000,1,30,40,22.4
1,3000,1,30,70,20.8
1,3000,1,30,100,19.5
1,3000,1,60,0,22.9
1,3000,1,60,5,20.6
1,3000,1,60,10,19.6
1,3000,1,60,40,17.3
1,3000,1,60,70,16.0
1,3000,1,60,100,15.0
1,3000,5,0,0,34.6
1,3000,5,0,5,31.8
1,3000,5,0,10,30.0
1,3000,5,0,40,26.2
1,3000,5,0,70,24.2
1,3000,5,0,100,22.5
1,3000,5,30,0,32.4
1,3000,5,30,5,29.5
1,3000,5,30,10,27.9
1,3000,5,30,40,24.5
1,3000,5,30,70,22.5
1,3000,5,30,100,20.8
1,3000,5,60,0,25.0
1,3000,5,60,5,22.3
1,3000,5,60,10,21.0
1,3000,5,60,40,18.4
1,3000,5,60,70,16.9
1,3000,5,60,100,15.7
1,3000,10,0,0,35.0
1,3000,10,0,5,32.1
1,3000,10,0,10,30.3
1,3000,10,0,40,26.4
1,3000,10,0,70,24.4
1,3000,10,0,100,22.6
1,3000,10,30,0,32.7
1,3000,10,30,5,29.8
1,3000,10,30,10,28.1
1,3000,10,30,40,24.6
1,3000,10,30,70,22.6
1,3000,10,30,100,21.0
